"author_channel_url","author_channel_url_number"
"https://youtube.com/channel/UC-PTJCUaViZIf19y7HGwi8Q","0023186"
"https://youtube.com/channel/UC-PVbLIDaEt5E9-dcbXePXw","0011164"
"https://youtube.com/channel/UC-PqQTEhLOo_bG_TkJ9KF3A","0013453"
"https://youtube.com/channel/UC-Pzm3i75YwAryZGEfLMSLw","0024019"
"https://youtube.com/channel/UC-Q9uQOmgggt9PonZmUqeUw","0021743"
"https://youtube.com/channel/UC-QBMKH2g5DZzRhqX5dlzsQ","0016106"
"https://youtube.com/channel/UC-QInrWyors4r-9EncRa97Q","0025280"
"https://youtube.com/channel/UC-QaP7_50m_PjoPUrf8gThw","0024237"
"https://youtube.com/channel/UC-Qmrr5b3wLgrggiA9lo_0w","0007039"
"https://youtube.com/channel/UC-QnN9RE2iEz5BiPPsCUJgw","0009720"
"https://youtube.com/channel/UC-QoegCt_U3CeTGl0VOFwSQ","0000332"
"https://youtube.com/channel/UC-RHUhRABzV3J1amyz6ZmHw","0015507"
"https://youtube.com/channel/UC-RMGAZ2BVOXmQMm9fi9uEQ","0002484"
"https://youtube.com/channel/UC-RxXi2Xws6Uk22vp-sLbGA","0017106"
"https://youtube.com/channel/UC-RzxNh2jXMx34wMTQ2QK8A","0010047"
"https://youtube.com/channel/UC-S2Jv4VRBgutLWWmGnB6nw","0023608"
"https://youtube.com/channel/UC-SAbHsBbB04uU2JjfOar-w","0006584"
"https://youtube.com/channel/UC-SDCsgrllKdyd6z6ClCpJQ","0016397"
"https://youtube.com/channel/UC-SJ6nODDmufqBzPBwCvYvQ","0024911"
"https://youtube.com/channel/UC-SMrlcpDqn8k46BnzUkGmA","0013398"
"https://youtube.com/channel/UC-SQ2p0qM14czpQdhLC8cyQ","0025385"
"https://youtube.com/channel/UC-SWO5Ve08jHe6zattdLoKA","0020530"
"https://youtube.com/channel/UC-SxvUQL5p7NjwuhtWYLYRQ","0020338"
"https://youtube.com/channel/UC-SyGZkxFJ61bkepC6yo7Pg","0001255"
"https://youtube.com/channel/UC-T2sainoUzMsiODsr19GLg","0010397"
"https://youtube.com/channel/UC-T6hmR-YLvXGaC_rciaJYA","0016071"
"https://youtube.com/channel/UC-TDGum7qBjTG3q93LIUZZA","0025620"
"https://youtube.com/channel/UC-TGQQh9zVm3RHRokd8XfnA","0004704"
"https://youtube.com/channel/UC-TOpnjE9mIoA24bLXamjLA","0025802"
"https://youtube.com/channel/UC-TPWiY5CIF-Dgdj7p_5_qQ","0018274"
"https://youtube.com/channel/UC-TRe9atiTSG17aSgUugjEg","0014815"
"https://youtube.com/channel/UC-TSw-Ym6FJwYQJwo0-mLHw","0006682"
"https://youtube.com/channel/UC-T_QT3ySV2v7A5zxQ81Kpg","0000245"
"https://youtube.com/channel/UC-TcTwAMQODZBIvkfx5RvOw","0002738"
"https://youtube.com/channel/UC-ThBLnlAzZwAnhhIX--80A","0006757"
"https://youtube.com/channel/UC-ToOrfa2k4lTD_d895B7pA","0006370"
"https://youtube.com/channel/UC-TvOkoMPXah1miBUQPMp-g","0012618"
"https://youtube.com/channel/UC-TvYGwcte4jxfsdBImvu2Q","0007637"
"https://youtube.com/channel/UC-UdK7hmVybPbc3E1TYIcpw","0016850"
"https://youtube.com/channel/UC-UhBojbtnOwxjlvKjWvvJw","0025147"
"https://youtube.com/channel/UC-UnLMJMHV5AwCGwCdpaqPw","0023858"
"https://youtube.com/channel/UC-UythwPCXxim7DbULgtL0w","0001514"
"https://youtube.com/channel/UC-VDtJJkBJmJO6PnFIvcG5A","0005435"
"https://youtube.com/channel/UC-Vj-q2d2Qu1N36T7kOoZPA","0013986"
"https://youtube.com/channel/UC-Vv7gpTl2FZk0sCnqAhERA","0002263"
"https://youtube.com/channel/UC-W7ET5p3TIIZUeb4Qs1iDA","0007247"
"https://youtube.com/channel/UC-WHvJ6_Wg6mtM13xV0_wQQ","0025478"
"https://youtube.com/channel/UC-WJSY5S5IhY686m0mVvdbg","0026132"
"https://youtube.com/channel/UC-WPkfdY5N0aGvaMgyk2pOg","0001742"
"https://youtube.com/channel/UC-WnO3C5JP3p8P3Ou__XF7g","0015072"
"https://youtube.com/channel/UC-X5RVdQglSdfqaQ1TIIBFQ","0010035"
"https://youtube.com/channel/UC-XLjD5ELkasZTUDMITnBYw","0005754"
"https://youtube.com/channel/UC-XS9bOD2lb3d5f3Xwx5C4g","0024694"
"https://youtube.com/channel/UC-XdkHvAX3IJxLtsCN40UrQ","0013200"
"https://youtube.com/channel/UC-XwoVgNmzxs2N8GLaO7y_A","0025067"
"https://youtube.com/channel/UC-Y7mgcGxgwPvmyCsAXZYyA","0016000"
"https://youtube.com/channel/UC-YF6mjGsuiUTWiVealJB0g","0006998"
"https://youtube.com/channel/UC-YL_Pyw_Y3IwqjK9bdhMYA","0018220"
"https://youtube.com/channel/UC-YPUF31aaOmgK2316g2nhg","0004937"
"https://youtube.com/channel/UC-Yq2dQg-90HixJcLA2sxAw","0006979"
"https://youtube.com/channel/UC-Yu3Ll8qpTQSBd98ayNMmA","0010108"
"https://youtube.com/channel/UC-Yycb0gQe_iRbSPIBBzXFQ","0018203"
"https://youtube.com/channel/UC-ZF0WEZhoXRH2fGUpU46fQ","0002652"
"https://youtube.com/channel/UC-ZL1Wdi9WXRZqAWztguAbg","0000685"
"https://youtube.com/channel/UC-ZUKiONEg7toq1u35vltGA","0000349"
"https://youtube.com/channel/UC-ZYLrxnzpbhhjc9q0zhe4Q","0000754"
"https://youtube.com/channel/UC-Zf4NFqfyjSuQbsv_Qx55g","0026255"
"https://youtube.com/channel/UC-Zjnv_kJxdusSJjAg63ajA","0019126"
"https://youtube.com/channel/UC-ZponNSgYwOyTAt3TOMl8w","0022620"
"https://youtube.com/channel/UC-_3zqPwZGcDogDsT0-grCQ","0026087"
"https://youtube.com/channel/UC-_8jxktVS1ZO8RYoPqCQ1Q","0024227"
"https://youtube.com/channel/UC-_QJI45Ar-NXorPSCz-pfA","0016676"
"https://youtube.com/channel/UC-_SURm9O-wWHHRMtjUpi9w","0007805"
"https://youtube.com/channel/UC-_ZuAH2sjLVGub60kgn76g","0022003"
"https://youtube.com/channel/UC-_gmaEhVlr3xpzXux-RKzg","0021249"
"https://youtube.com/channel/UC-_idnKDn1iQAlY84WwX9_g","0024991"
"https://youtube.com/channel/UC-_n5GqmdIL2qKJw2W77MdQ","0017895"
"https://youtube.com/channel/UC-_o_QqyrNXf45j6UMeOEnQ","0016442"
"https://youtube.com/channel/UC-a1Tz0i8M9rIi-BO8Q_4rg","0019352"
"https://youtube.com/channel/UC-aGaekEjz82u6DG0hO0lXg","0000232"
"https://youtube.com/channel/UC-aKKFSQD_LTG8JPLpmWEwg","0002626"
"https://youtube.com/channel/UC-aMfQkrm614Kdg-wNRU15g","0004046"
"https://youtube.com/channel/UC-aNTnNIh051h5_TrwQoQFw","0001041"
"https://youtube.com/channel/UC-a_nhVWXN4IvKQcuhZ3N_A","0026023"
"https://youtube.com/channel/UC-aav66XV7pPO11EM_pCYWA","0006574"
"https://youtube.com/channel/UC-apua-j99el5bTVQGyLMhw","0018869"
"https://youtube.com/channel/UC-atuYiBydBReAcvxlHiqIA","0006974"
"https://youtube.com/channel/UC-aywekLlBUKbEdAnsFRVUg","0003061"
"https://youtube.com/channel/UC-bDI_pIUWQKgbldFbQWWiA","0007910"
"https://youtube.com/channel/UC-b_UlvydwpIxqEz-9AWhcw","0020533"
"https://youtube.com/channel/UC-baAfqp2RLR5Pkn8mbq_Zw","0018084"
"https://youtube.com/channel/UC-bsG1cRRqmDch-cDf9BJxg","0021234"
"https://youtube.com/channel/UC-cBtiDbS0AR4BxPxtU9NNw","0002418"
"https://youtube.com/channel/UC-cKvFTN1K707fR0pZaf3Ug","0007962"
"https://youtube.com/channel/UC-cY-7ej2NShYBjZavDyk_Q","0006004"
"https://youtube.com/channel/UC-cZTXqiK2KfXFFZOu25eNQ","0006107"
"https://youtube.com/channel/UC-ciozkBnzBq4NHIkAfCudg","0026072"
"https://youtube.com/channel/UC-cn0nBThzzUIoAb_-dt7Ow","0001164"
"https://youtube.com/channel/UC-cr1RFDaCKrJ6iryrm5Z8A","0004124"
"https://youtube.com/channel/UC-d-EJkNWpyD5UES1CPLi2A","0007809"
"https://youtube.com/channel/UC-dAjHo5IT-1k_UQfFSP8Fw","0011250"
"https://youtube.com/channel/UC-dJH6z-qg1UEjNPsv0J7ZQ","0026115"
"https://youtube.com/channel/UC-dL3oE8ioxCy3Gfa-ZurDA","0023215"
"https://youtube.com/channel/UC-dWYqADPJOTE4Xdks0_WHA","0004497"
"https://youtube.com/channel/UC-dcclSfhFPzV5FPfkim7yw","0002007"
"https://youtube.com/channel/UC-dciuwDDfSMYSz5HzKpUfQ","0022435"
"https://youtube.com/channel/UC-e9OJ6sKdQ4TzI3iFUeiNA","0002781"
"https://youtube.com/channel/UC-eMcaxh2uIuPP3uL36pJWg","0019719"
"https://youtube.com/channel/UC-eZ8so9TXosguyAbmk-zew","0006905"
"https://youtube.com/channel/UC-f0Kq9lDYt152KKId8khMQ","0000779"
"https://youtube.com/channel/UC-fHLjtsPkOuKcJ-r0mk01Q","0009805"
"https://youtube.com/channel/UC-fN7I0sl6HGNPytky1_H6Q","0004598"
"https://youtube.com/channel/UC-fq60klQ7UtPKkruhNh-rQ","0018813"
"https://youtube.com/channel/UC-gQhs0HKVGxnJyymTYFOjA","0018172"
"https://youtube.com/channel/UC-gi7BzC9haM9MbaMrZnFOA","0024874"
"https://youtube.com/channel/UC-gk42sL2UW3GWO6mdf473Q","0022424"
"https://youtube.com/channel/UC-gvP3p2Xw-StBGk-SivJlw","0002375"
"https://youtube.com/channel/UC-hpRCJYhoKrxRpnX9WxvqQ","0010473"
"https://youtube.com/channel/UC-i-YUyXrK4qWfBcxX5dxMQ","0005975"
"https://youtube.com/channel/UC-i0ZKgorgEOTAmkxKFk62A","0008291"
"https://youtube.com/channel/UC-iVcrfxxXpMKMdAlCa88pw","0024654"
"https://youtube.com/channel/UC-id1OKfKSHTkRKtincEDFw","0002659"
"https://youtube.com/channel/UC-igUN9RUAPG-I7mhtJC_6g","0014981"
"https://youtube.com/channel/UC-iigOwaXeTfEPeMbY4Gseg","0003743"
"https://youtube.com/channel/UC-isIW6SxV0OEAx6jzhjEwA","0005331"
"https://youtube.com/channel/UC-j0o52ogJL_b15URvYQghA","0026865"
"https://youtube.com/channel/UC-j1ZdGJmYkpYIZc3wQ2EFw","0001981"
"https://youtube.com/channel/UC-j5cSmx37ARjLZqfg-AliA","0012485"
"https://youtube.com/channel/UC-jAu1mIroWCLoP2obGeAXA","0023075"
"https://youtube.com/channel/UC-jTX0BhYnhIuK-FgqlrxYQ","0003930"
"https://youtube.com/channel/UC-jgX4TwdQFXt43UDRhNNNg","0017158"
"https://youtube.com/channel/UC-jge2SardV-mIXCI_DNZ_g","0010665"
"https://youtube.com/channel/UC-k1eklc6XA0-yej7Plq-lg","0013257"
"https://youtube.com/channel/UC-kS3hbUQVVUSGlvbJRBazA","0004895"
"https://youtube.com/channel/UC-ktzqTso0TJdmRRdDs4WFQ","0025238"
"https://youtube.com/channel/UC-kxwDkJL4CFhtD9IWQ_ojQ","0014504"
"https://youtube.com/channel/UC-l19yv1FUnzTAWNxFVUY3w","0018819"
"https://youtube.com/channel/UC-l6_q9X0hLu0CwCOCJVp_w","0005734"
"https://youtube.com/channel/UC-lFXCmEFarYMVqrwcGZdCQ","0012881"
"https://youtube.com/channel/UC-lJM-KOXfDkSupdkdVYLnA","0024508"
"https://youtube.com/channel/UC-lfao986ZdqaPJthe1UNMg","0020558"
"https://youtube.com/channel/UC-m5TEr5MukRrKY1cBQ4gdQ","0016577"
"https://youtube.com/channel/UC-mEZ_JJbkm1BAIjonIhZfg","0016370"
