"author_channel_ID","author_number"
"UC-sjn_TLTIWiT20eRMKyz2g","0012285"
"UC-spBY-CFAgAVUpRwo5w1UQ","0021787"
"UC-sshjCNem7BixuVsq_5Qmw","0014458"
"UC-t4tcHp0akINI9NsrtmLCQ","0001854"
"UC-t8QnSou2ao9rF9fxieD6A","0016631"
"UC-tBt-wcXTcp96b9OCvrFDw","0015095"
"UC-tMDFn3sfegG5sDxusY73w","0018423"
"UC-tUuP5bCc3BKyBzQAf2QtQ","0001083"
"UC-taTAo1dueu6eeguMrgZkw","0012010"
"UC-tyJz-HsIIXvbfNhvZAvBg","0011969"
"UC-uBBoTDmoEPJFYhJ9V-p-A","0016628"
"UC-uC1_hEqmj-sJReyC7d2qQ","0017402"
"UC-uHYSW9w4YdFWz7zhrTANg","0017662"
"UC-uS9x-9fw2KdpUx3W6k-aw","0016751"
"UC-ucQfDy_FGoDb2TrC5EfUg","0010500"
"UC-ulSYEbE7E7A5neiKZDkEA","0006265"
"UC-v55oe-LEvzWBcS6QpGr5A","0014504"
"UC-vy_AD7rblwcKepqCjBaZQ","0013674"
"UC-wSG4V1FU5loPlKis9t0Vg","0015773"
"UC-wojZhjSxOvaMKJUdqyHrg","0003567"
"UC-xC2hJeGWU1wJ2trqdbmuQ","0009958"
"UC-xCU38XpfOI4s5bUF3akuw","0016915"
"UC-xR8QyaldYOot3JWAi1hzA","0009832"
"UC-xdHAcCkMlzI4dQz2iFBZQ","0020471"
"UC-xygTBDNx9nRsYeRbDpXPg","0010608"
"UC-y7V7tAQ52PHhqDXco_cfQ","0011202"
"UC-yCxIWS-73P9tUlpGfjvpg","0021317"
"UC-yM5XApjMGEVHJU1ROomMQ","0003827"
"UC-yX143Ndmlc1OgXmRX_fuA","0018000"
"UC-ykjOtW76Ta-zEBfqzd1eg","0013975"
"UC-yxcMGfF213E5PQMetfGEg","0005451"
"UC-zTm3RjU4cdKwNsPrF51Hg","0001507"
"UC-zaNa-KsI3wsQgoFl64rKA","0008459"
"UC-zasc974CAB_ec4XI8SyxQ","0009609"
"UC-zr2AfBhDh_jHPB1FwleFg","0002057"
"UC0-E5iC93KmPjvyBGMvc6bQ","0014862"
"UC0-WxTnEH4PHR634RwkzKww","0000266"
"UC0-XvJS0yAhwRQ4rh8m4MJQ","0018694"
"UC0-bR88Cyh7G0AZFOskjzpQ","0012576"
"UC0-mxPBhMIWDBxfRU7XsW3Q","0015338"
"UC0-rbUrxRa7HRZLnsjeEpjQ","0010365"
"UC00CDOzL-kSNT_lBKxWGqBQ","0016446"
"UC00Ikb9Hi1nEo1DXZj_Ignw","0002404"
"UC00daM19Yw2ugJNEVNreVbg","0021088"
"UC01_2BOuie0bMsc70f9DMyA","0001537"
"UC01e_850CgRU2Aj-f1Y3QVw","0016873"
"UC01io0rvrWrfUpExK7Dgrcw","0006365"
"UC025DAcIE80X1vFeX9k0F_w","0020440"
"UC02HSzFWzhN4cJaW3DQwZ6A","0019868"
"UC02OAviTMYnhMb1u6ux5kzQ","0017336"
"UC02UcBN6I28BikX8I_w4mnQ","0009360"
"UC02fxwfwCL5khSDZXNnbJrA","0007253"
"UC02he-Q0oTEn1YiMTVHzByA","0015097"
"UC02k-Mchgx5fGJdAoSuZLcA","0016229"
"UC03CCrpVZU7Q9xcl_h622Xw","0021141"
"UC03JSPmkqSFXFaKTIDPeJPA","0007995"
"UC03Ja7FAYd23InP8FmWIrSw","0005977"
"UC03eyoKMm0NXFOlYIV5FDYQ","0004984"
"UC04BacknmzEvxTberZUovHQ","0011779"
"UC04MIvHrVbPVhlSsKB2oCkg","0022186"
"UC04O_KoyJwj0Fw8Z64vQlIA","0022443"
"UC04PomQkR8U7aNLBb6-4vQQ","0007510"
"UC05URAxiyscBNUPRXOzBjPQ","0022279"
"UC05UeOys5q6SbcYC_s9NeDA","0012190"
"UC05nTghLJoY19ux8t5uPdog","0011998"
"UC05t45CV3kUV9yQmyN-QYxA","0021046"
"UC06OIVKWHFkm_hDWxFY2uJw","0008037"
"UC06QgeWUXWn5p_0mc4nokJQ","0016021"
"UC06ROknkyEAcUG9rf_0U71w","0007411"
"UC06eF2evAMvCNM2GL30n9Fw","0009286"
"UC06kMSysQEyBGNwNHluQ-5g","0012170"
"UC074-hZgkD9sqhSw6MlkbCQ","0009119"
"UC07AZUsNBmSQWNqXdkjCEkA","0016173"
"UC07FntCquyFadcgSsi8xmUw","0002407"
"UC07K9i1FmXoHkzVFSOtGqPA","0001164"
"UC07XaXMG6RpRwUsd8arBxcg","0020858"
"UC07bZ6pjkXhWQjb-AccPNMA","0003610"
"UC07g6BPPh1RdqWmzRzLdx6A","0020958"
"UC0854wuRSQLTeki3ftagh7Q","0001711"
"UC08b84P4L-lx7wlrJWEK7-Q","0014709"
"UC09ryf__IHTAqQHOFNExSDQ","0017829"
"UC0ANmkE5_fuz3iFV4gNe-zg","0017216"
"UC0AQoyW_EctbnMQZNmQ8cEQ","0008114"
"UC0AZdDV91TA_6uw6Tn3bvAw","0009279"
"UC0AnPuiTzr1xtT_yGrk5xPQ","0001389"
"UC0AwRnwawoiPDug5Mnd0tSg","0006497"
"UC0BH2DXo8kBmBi17iA_8pJw","0015222"
"UC0BJjrdsAnRkLhfsl-xYQiA","0015168"
"UC0BeuPcTQubmRQfcG-uWYYQ","0020633"
"UC0CG-KN2ZpnL_AjnrT2FK5w","0021443"
"UC0CX77Te-wPeKAhBuq5l_hA","0003673"
"UC0C_-lWRdZQtZo9VXplON-w","0003047"
"UC0CexjRtUlPhNW_f05BgSZQ","0010583"
