"comment_ID","comment_number"
"UggX3toAdX7VjngCoAEC","0017140"
"UggXGrKwwv0uDHgCoAEC","0017121"
"UggXGrKwwv0uDHgCoAEC.8LV2yZ0M47N8_5VR_1uCcb","0017122"
"UggXQIDLkYHayXgCoAEC","0017251"
"UggXQIDLkYHayXgCoAEC.8-r3mk8JEtR7-ZWw0tq1Yy","0017254"
"UggXQIDLkYHayXgCoAEC.8-r3mk8JEtR7-fTDwSmeq2","0017253"
"UggXQIDLkYHayXgCoAEC.8-r3mk8JEtR71G3hAVxePu","0017252"
"UggXuGZJuPRhfHgCoAEC","0015519"
"UggY5c0DeRcH1ngCoAEC","0017183"
"UggYV7Gd6bFi4ngCoAEC","0010940"
"UggYV7Gd6bFi4ngCoAEC.8O28N3Cm9Ai8O3gzn5Xtbw","0010943"
"UggYV7Gd6bFi4ngCoAEC.8O28N3Cm9Ai8kWQa2Uqlwe","0010942"
"UggYV7Gd6bFi4ngCoAEC.8O28N3Cm9Ai8tP2YgQFyrT","0010941"
"UggYs8XnJOigX3gCoAEC","0005726"
"UggYs8XnJOigX3gCoAEC.7-H0Z7-LkKY8W3i8hK0LKM","0005730"
"UggYs8XnJOigX3gCoAEC.7-H0Z7-LkKY8Ykv5Omk8EP","0005729"
"UggYs8XnJOigX3gCoAEC.7-H0Z7-LkKY8ZmwisRhSLQ","0005728"
"UggYs8XnJOigX3gCoAEC.7-H0Z7-LkKY8q65XUUUhy8","0005727"
"UggZN4CNkJPhlXgCoAEC","0000599"
"UggZp3KPSmv2UHgCoAEC","0019679"
"UggZrTnWzal0bXgCoAEC","0016994"
"Ugg_8mpYMJZXBngCoAEC","0005732"
"Ugg_8mpYMJZXBngCoAEC.7-H0Z7-PSOE7-WtLERrlys","0005734"
"Ugg_8mpYMJZXBngCoAEC.7-H0Z7-PSOE700FdyIhhli","0005733"
"Ugg_vOfStYynMXgCoAEC","0017085"
"UggaRP7W9QWbR3gCoAEC","0006509"
"UggatZGX78uia3gCoAEC","0024355"
"UggbnTWFeiQRangCoAEC","0006471"
"UggbonIdF1CIVngCoAEC","0006455"
